pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
3snd,pdb/3c_like_proteinase/SARS-CoV/3snd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3snd,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.89,,0.1741,0.23477
3sne,pdb/3c_like_proteinase/SARS-CoV/3sne,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3sne,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.6,,0.18815,0.24083
3szn,pdb/3c_like_proteinase/SARS-CoV/3szn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3szn,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.69,,0.18493,0.20669
3tit,pdb/3c_like_proteinase/SARS-CoV/3tit,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3tit,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.99,,0.19226,0.23493
3tiu,pdb/3c_like_proteinase/SARS-CoV/3tiu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3tiu,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.08,,0.18258,0.2362
3tns,pdb/3c_like_proteinase/SARS-CoV/3tns,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3tns,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.99,,0.19677,0.24524
3tnt,pdb/3c_like_proteinase/SARS-CoV/3tnt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3tnt,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.59,,0.1936,0.21916
3v3m,pdb/3c_like_proteinase/SARS-CoV/3v3m,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3v3m,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.65,,0.18894,0.23572
3vb3,pdb/3c_like_proteinase/SARS-CoV/3vb3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb3,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.1891,0.2306
3vb4,pdb/3c_like_proteinase/SARS-CoV/3vb4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb4,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.1817,0.2354
3vb5,pdb/3c_like_proteinase/SARS-CoV/3vb5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb5,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.95,,0.2045,0.232
3vb6,pdb/3c_like_proteinase/SARS-CoV/3vb6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb6,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.1881,0.2453
3vb7,pdb/3c_like_proteinase/SARS-CoV/3vb7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb7,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.95,,0.1875,0.2304
4hi3,pdb/3c_like_proteinase/SARS-CoV/4hi3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4hi3,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.09,,0.18987,0.24138
4mds,pdb/3c_like_proteinase/SARS-CoV/4mds,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4mds,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.598,,0.1699,0.21227
4tww,pdb/3c_like_proteinase/SARS-CoV/4tww,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4tww,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.41,,0.2317,0.261
4twy,pdb/3c_like_proteinase/SARS-CoV/4twy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4twy,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.6,,0.2901,0.3187
4wy3,pdb/3c_like_proteinase/SARS-CoV/4wy3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4wy3,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.7,,0.27367,0.29891
5b6o,pdb/3c_like_proteinase/SARS-CoV/5b6o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5b6o,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.2,,0.2064,0.2536
5c5n,pdb/3c_like_proteinase/SARS-CoV/5c5n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5c5n,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.65,,0.28999,0.32142
5c5o,pdb/3c_like_proteinase/SARS-CoV/5c5o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5c5o,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.5,,0.2467,0.2714
5n19,pdb/3c_like_proteinase/SARS-CoV/5n19,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5n19,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.62,,0.17248,0.20045
5n5o,pdb/3c_like_proteinase/SARS-CoV/5n5o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5n5o,nsp5 / 3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.0,,0.19222,0.25152
5r7y,pdb/3c_like_proteinase/SARS-CoV-2/5r7y,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r7y,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.1794,0.2367
5r7z,pdb/3c_like_proteinase/SARS-CoV-2/5r7z,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r7z,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.59,,0.1895,0.233
5r80,pdb/3c_like_proteinase/SARS-CoV-2/5r80,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r80,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.92,,0.173,0.2346
5r81,pdb/3c_like_proteinase/SARS-CoV-2/5r81,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r81,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.84,,0.182,0.2494
5r82,pdb/3c_like_proteinase/SARS-CoV-2/5r82,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r82,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.31,,0.1803,0.2116
5r83,pdb/3c_like_proteinase/SARS-CoV-2/5r83,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r83,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.58,,0.1758,0.2149
5r84,pdb/3c_like_proteinase/SARS-CoV-2/5r84,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r84,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.83,,0.2167,0.2926
5r8t,pdb/3c_like_proteinase/SARS-CoV-2/5r8t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r8t,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.27,,0.1841,0.2081
5re4,pdb/3c_like_proteinase/SARS-CoV-2/5re4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re4,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.89,,0.1991,0.2664
5re5,pdb/3c_like_proteinase/SARS-CoV-2/5re5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re5,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.07,,0.1811,0.2649
5re6,pdb/3c_like_proteinase/SARS-CoV-2/5re6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re6,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.87,,0.1857,0.2505
5re7,pdb/3c_like_proteinase/SARS-CoV-2/5re7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re7,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.79,,0.1673,0.225
5re8,pdb/3c_like_proteinase/SARS-CoV-2/5re8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re8,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.81,,0.1903,0.2483
5re9,pdb/3c_like_proteinase/SARS-CoV-2/5re9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re9,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.72,,0.1672,0.2248
5rea,pdb/3c_like_proteinase/SARS-CoV-2/5rea,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rea,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.63,,0.1852,0.2282
5reb,pdb/3c_like_proteinase/SARS-CoV-2/5reb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5reb,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.68,,0.1755,0.2237
5rec,pdb/3c_like_proteinase/SARS-CoV-2/5rec,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rec,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.73,,0.1826,0.2371
5red,pdb/3c_like_proteinase/SARS-CoV-2/5red,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5red,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.47,,0.1814,0.2112
5ree,pdb/3c_like_proteinase/SARS-CoV-2/5ree,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5ree,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.77,,0.1832,0.2424
5ref,pdb/3c_like_proteinase/SARS-CoV-2/5ref,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5ref,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.61,,0.1981,0.2461
5reg,pdb/3c_like_proteinase/SARS-CoV-2/5reg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5reg,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.68,,0.1792,0.2272
5reh,pdb/3c_like_proteinase/SARS-CoV-2/5reh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5reh,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.1871,0.2573
5rei,pdb/3c_like_proteinase/SARS-CoV-2/5rei,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rei,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.82,,0.1832,0.2401
5rej,pdb/3c_like_proteinase/SARS-CoV-2/5rej,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rej,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.72,,0.19,0.2405
5rek,pdb/3c_like_proteinase/SARS-CoV-2/5rek,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rek,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.74,,0.1827,0.2304
5rel,pdb/3c_like_proteinase/SARS-CoV-2/5rel,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rel,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.62,,0.1821,0.2197
5rem,pdb/3c_like_proteinase/SARS-CoV-2/5rem,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rem,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.96,,0.175,0.2464
5ren,pdb/3c_like_proteinase/SARS-CoV-2/5ren,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5ren,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.14,,0.1738,0.2779
5reo,pdb/3c_like_proteinase/SARS-CoV-2/5reo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5reo,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.88,,0.1676,0.2268
5rep,pdb/3c_like_proteinase/SARS-CoV-2/5rep,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rep,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.81,,0.1783,0.2311
5rer,pdb/3c_like_proteinase/SARS-CoV-2/5rer,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rer,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.88,,0.1872,0.2526
5res,pdb/3c_like_proteinase/SARS-CoV-2/5res,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5res,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.1814,0.2263
5ret,pdb/3c_like_proteinase/SARS-CoV-2/5ret,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5ret,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.68,,0.182,0.222
5reu,pdb/3c_like_proteinase/SARS-CoV-2/5reu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5reu,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.69,,0.183,0.2323
5rev,pdb/3c_like_proteinase/SARS-CoV-2/5rev,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rev,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.1763,0.2217
5rew,pdb/3c_like_proteinase/SARS-CoV-2/5rew,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rew,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.55,,0.1848,0.2236
5rex,pdb/3c_like_proteinase/SARS-CoV-2/5rex,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rex,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.07,,0.1749,0.2507
5rey,pdb/3c_like_proteinase/SARS-CoV-2/5rey,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rey,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.96,,0.1958,0.2735
5rez,pdb/3c_like_proteinase/SARS-CoV-2/5rez,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rez,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.79,,0.2015,0.2721
5rf0,pdb/3c_like_proteinase/SARS-CoV-2/5rf0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf0,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.1811,0.2264
5rf1,pdb/3c_like_proteinase/SARS-CoV-2/5rf1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf1,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.73,,0.1862,0.2361
5rf2,pdb/3c_like_proteinase/SARS-CoV-2/5rf2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf2,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.53,,0.1817,0.2216
5rf3,pdb/3c_like_proteinase/SARS-CoV-2/5rf3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf3,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.5,,0.1853,0.221
5rf4,pdb/3c_like_proteinase/SARS-CoV-2/5rf4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf4,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.61,,0.18,0.2249
5rf5,pdb/3c_like_proteinase/SARS-CoV-2/5rf5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf5,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.74,,0.1776,0.2306
5rf6,pdb/3c_like_proteinase/SARS-CoV-2/5rf6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf6,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.45,,0.1806,0.2174
5rf7,pdb/3c_like_proteinase/SARS-CoV-2/5rf7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf7,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.54,,0.1804,0.2169
5rf8,pdb/3c_like_proteinase/SARS-CoV-2/5rf8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf8,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.43,,0.1773,0.2132
5rf9,pdb/3c_like_proteinase/SARS-CoV-2/5rf9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf9,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.43,,0.182,0.2154
5rfa,pdb/3c_like_proteinase/SARS-CoV-2/5rfa,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfa,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.52,,0.1767,0.2151
5rfb,pdb/3c_like_proteinase/SARS-CoV-2/5rfb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfb,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.48,,0.1833,0.2235
5rfc,pdb/3c_like_proteinase/SARS-CoV-2/5rfc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfc,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.4,,0.1795,0.2128
5rfd,pdb/3c_like_proteinase/SARS-CoV-2/5rfd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfd,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.41,,0.1776,0.211
5rfe,pdb/3c_like_proteinase/SARS-CoV-2/5rfe,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfe,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.46,,0.1769,0.2136
5rff,pdb/3c_like_proteinase/SARS-CoV-2/5rff,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rff,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.78,,0.192,0.2474
5rfg,pdb/3c_like_proteinase/SARS-CoV-2/5rfg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfg,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.32,,0.2121,0.3065
5rfh,pdb/3c_like_proteinase/SARS-CoV-2/5rfh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfh,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.58,,0.1886,0.2368
5rfi,pdb/3c_like_proteinase/SARS-CoV-2/5rfi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfi,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.69,,0.1933,0.2423
5rfj,pdb/3c_like_proteinase/SARS-CoV-2/5rfj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfj,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.1864,0.2414
5rfk,pdb/3c_like_proteinase/SARS-CoV-2/5rfk,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfk,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.74,,0.1875,0.2348
5rfl,pdb/3c_like_proteinase/SARS-CoV-2/5rfl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfl,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.64,,0.1843,0.2247
5rfm,pdb/3c_like_proteinase/SARS-CoV-2/5rfm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfm,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.06,,0.1779,0.2572
5rfn,pdb/3c_like_proteinase/SARS-CoV-2/5rfn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfn,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.1861,0.239
5rfo,pdb/3c_like_proteinase/SARS-CoV-2/5rfo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfo,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.83,,0.2049,0.2775
5rfp,pdb/3c_like_proteinase/SARS-CoV-2/5rfp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfp,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.03,,0.2067,0.2968
5rfq,pdb/3c_like_proteinase/SARS-CoV-2/5rfq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfq,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.76,,0.18,0.227
5rfr,pdb/3c_like_proteinase/SARS-CoV-2/5rfr,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfr,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.71,,0.1853,0.2377
5rfs,pdb/3c_like_proteinase/SARS-CoV-2/5rfs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfs,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1869,0.2327
5rft,pdb/3c_like_proteinase/SARS-CoV-2/5rft,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rft,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.58,,0.1953,0.2368
5rfu,pdb/3c_like_proteinase/SARS-CoV-2/5rfu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfu,nsp5 / 3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.53,,0.1753,0.2098
